name,description,price,currency,iso_image
PEARL HEELED SLINGBACKS,"Slingback heels with front pearl detail. Pointed toe. Back strap with elastic piece. 

Heel height: 2.8 inches (7 cm) 

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",79.9,USD,ea8b9976-7cda-4e4c-9926-b357b1aa65c7
LEATHER BALLET FLATS,"Mary Jane style leather ballet flats. Buckled strap at instep.

Sole height: 0.4 inches (1 cm)

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",59.9,USD,769a6f42-94a6-451b-9014-5fcf1100d212
HIGH HEEL SLINGBACK PUMPS,"Heeled slingbacks with faux patent leather finish. Pointed toe. 

Heel height: 3.9 inches (10 cm)",49.9,USD,19b80e65-67a9-45f8-8139-e7b1da2ab448
HIGH HEEL SLINGBACK PUMPS,"Heeled faux patent leather slingbacks. Back strap with elastic piece. Pointed toe. 

Heel height: 3.9 inches (10 cm)",49.9,USD,deb51ea0-cb17-46ef-b381-77472db4f023
BLOCK HEEL SLINGBACK SHOES,"Slingback block heel pumps. Front strap with buckle detail. Buckled back strap. Squared toe. 

Heel height: 3.1 inches (8 cm)",49.9,USD,f60acf01-96a7-44cf-9245-ba3a2ef57920
SLINGBACK HEELS WITH BOW,"Faux patent leather high heel slingbacks. Bow detail at front. Back strap with elastic. 

Heel height: 3.1 inches (8 cm)",59.9,USD,813a5798-a086-4a95-adcc-05bfeebb2494
FLAT BUCKLED SANDALS,"Flat sandals with buckled straps. Rounded toe. 

Sole height: 1 inch (2.5 cm)",49.9,USD,74caa0b2-7942-415f-851f-1cbfa89520ae
SLINGBACK HEELS WITH BOW,"Slingback heels. Bow detail at front. Back strap with elastic piece. 

Heel height: 3.1 inches (8 cm)",49.9,USD,90615291-e218-4885-a8a4-fa0ee5b2770d
HEELED SHINY MESH SLINGBACKS,"High heel slingbacks with shiny mesh fabric. 

Heel height: 3.9 inches (10 cm)",69.9,USD,392aa6f8-5f4b-4bb0-97e4-00463b474bb6
MESH BOW SANDALS,"High heel fabric sandals in mesh fabric. Bow detail at front. 

Heel height: 2.4 inches (6 cm)",49.9,USD,740e99dd-b2d5-4464-b59b-6de2b9d15e15
FLAT MESH MARY JANES,"Flat Mary Janes in mesh fabric. Buckled ankle strap closure. 

Sole height: 0.4 inches (1 cm)",49.9,USD,13caa106-0c48-4c86-8317-c759c4c1bde2
BRUSHED EFFECT FLAT SHOES,"Flat Mary Janes with brushed effect. Buckled strap. Chunky soles. 

Sole height: 1.6 inches (4 cm)",69.9,USD,ed9fa32d-79c0-4421-b0cd-4d8fc53a0638
FABRIC MULES,"Slingback flats with patent leather effect finish. Buckled strap at instep and back strap.

Sole height: 1 inch (2.5 cm)",49.9,USD,6eb43271-12c3-4e22-8d7c-1cbc88ab4c1c
,,49.9,USD,c4dff6af-b03a-48ec-b8d8-f6891ed04107
FAUX PATENT LEATHER HEELED MULES,"Heeled mules with faux patent leather finish. Pointed toe. 

Heel height: 2.5 inches (6.4 cm)",49.9,USD,1437c8f7-f4eb-429a-b500-9bae9ff8816c
FAUX FLEECE CLOGS,"Flat faux shearling clogs. Buckled strap detail. 

Sole height: 1 inch (2.5 cm)",69.9,USD,9c837d60-a1ec-4770-b1df-37aa746b15e7
BOW TRIM VELVET SLINGBACK SHOES,"Heeled velvet slingback shoes. Bow detail at front. Back strap with elastic piece. 

Heel height: 3.1 inches (8 cm) 

AIRFIT®. Flexible technical sole made of latex foam designed to offer increased comfort.",69.9,USD,32154152-1aa7-4806-a0dc-fe43589b623e
